flight,from,status,scheduled_time,day
UA 6858,ABQ,Arrived,2:41 PM,today
UA 6076,ABQ,Now 04:27 PM,4:20 PM,today
UA 6361,ASE,Arrived,12:53 PM,today
UA 6985,ASE,Arrived,1:38 PM,today
UA 6581,ASE,Arrived,2:33 PM,today
UA 6232,ASE,Arrived,3:23 PM,today
UA 6648,ASE,On Time,5:49 PM,today
UA 7530,ATL,Now 05:34 PM,5:18 PM,today
UA 7591,AUS,Arrived,12:29 PM,today
UA 7384,AUS,Now 04:58 PM,5:11 PM,today
UA 441,BWI,Arrived,12:44 PM,today
UA 453,BWI,Now 04:42 PM,5:06 PM,today
UA 406,BIL,Arrived,2:59 PM,today
UA 6628,BHM,Now 06:24 PM,5:26 PM,today
UA 6541,BIS,Arrived,1:53 PM,today
UA 6175,BIS,Now 06:04 PM,5:50 PM,today
UA 6485,BOI,Arrived,12:00 PM,today
UA 6950,BOI,Now 04:57 PM,2:32 PM,today
UA 828,BOI,Now 06:28 PM,3:54 PM,today
UA 779,BOS,Now 05:38 PM,5:55 PM,today
UA 6765,BZN,Arrived,3:10 PM,today
UA 6972,YYC,Arrived,2:58 PM,today
UA 7007,YYC,Now 06:12 PM,6:00 PM,today
UA 834,CUN,Now 05:36 PM,4:57 PM,today
UA 6377,CPR,Cancelled,1:40 PM,today
UA 6677,CID,Now 07:00 PM,5:57 PM,today
UA 2257,CLT,Now 01:54 PM,1:41 PM,today
UA 279,EWR,Arrived,12:42 PM,today
UA 327,ORD,Arrived,1:33 PM,today
UA 909,AMS,Now 04:47 PM,5:00 PM,today
UA 7439,CVG,Now 07:17 PM,5:20 PM,today
UA 6942,COS,Arrived,1:09 PM,today
UA 6988,COS,Arrived,2:43 PM,today
UA 7043,COS,Now 04:17 PM,4:02 PM,today
UA 962,CMH,Now 04:45 PM,4:54 PM,today
UA 6536,DFW,Arrived,1:50 PM,today
UA 723,DFW,Now 04:54 PM,5:00 PM,today
UA 7355,DAY,Arrived,4:55 PM,today
UA 7546,DSM,Arrived,12:59 PM,today
UA 5850,DRO,Arrived,12:49 PM,today
UA 6077,DRO,Arrived,2:07 PM,today
UA 5989,DRO,Now 04:59 PM,3:48 PM,today
UA 6658,YEG,Arrived,3:16 PM,today
